gene_id,gene_name,qualifier,go_id,reference,evidence_code,go_aspect,full_name,synonyms,object_type,date,source
S000001503,SPT23,enables,GO:0003674,GO_REF:0000015,ND,F,ER membrane protein involved in regulation of OLE1 transcription,YKL020C,protein,20181102,SGD
S000000735,GCN4,involved_in,GO:1990139,PMID:31211995,IMP,P,bZIP transcriptional activator of amino acid biosynthetic genes,YEL009C|AAS3|ARG9|AAS101|amino acid starvation-responsive transcription factor GCN4,protein,20200206,SGD
S000002318,STE7,involved_in,GO:0000187,PMID:8384702,IDA,P,Signal transducing MAP kinase kinase,YDL159W|mitogen-activated protein kinase kinase STE7,protein,20171213,SGD
S000002318,STE7,involved_in,GO:0000187,PMID:8384702,IMP,P,Signal transducing MAP kinase kinase,YDL159W|mitogen-activated protein kinase kinase STE7,protein,20171213,SGD
S000003664,PBS2,involved_in,GO:0000187,PMID:7624781,IGI,P,MAP kinase kinase of the HOG signaling pathway,YJL128C|HOG4|SFS4|SSK4|mitogen-activated protein kinase kinase PBS2,protein,20171214,SGD
S000003664,PBS2,involved_in,GO:0000187,PMID:7624781,IGI,P,MAP kinase kinase of the HOG signaling pathway,YJL128C|HOG4|SFS4|SSK4|mitogen-activated protein kinase kinase PBS2,protein,20171214,SGD
S000003026,RAD6,contributes_to,GO:0017116,PMID:9287349,IDA,F,Ubiquitin-conjugating enzyme (E2),YGL058W|PSO8|UBC2|E2 ubiquitin-conjugating protein RAD6,protein,20131012,SGD
S000001357,PRK1,involved_in,GO:0120133,PMID:9885245,IGI,P,Ser/Thr protein kinase,YIL095W|PAK1|serine/threonine protein kinase PRK1,protein,20181031,SGD
S000028746,FMP49,located_in,GO:0005739,PMID:14576278,HDA,C,Mitochondrial protein of unknown function,YER038W-A,protein,20040923,SGD
S000005730,DED1,enables,GO:0003724,PMID:10364207,IDA,F,ATP-dependent DEAD-box RNA helicase with strand-annealing activity,YOR204W|SPP81|DEAD-box ATP-dependent RNA helicase DED1,protein,20090529,SGD
S000005611,OST3,enables,GO:0015035,PMID:23416356,IDA,F,Gamma subunit of the oligosaccharyltransferase complex of the ER lumen,YOR085W|dolichyl-diphosphooligosaccharide--protein glycotransferase OST3,protein,20180713,SGD
S000005838,DGK1,involved_in,GO:2001210,PMID:32058036,IMP,P,Diacylglycerol kinase,YOR311C|HSD1|diacylglycerol kinase,protein,20200226,SGD
S000003234,SWC4,enables,GO:0005515,PMID:15302830,IPI,F,Component of the Swr1p complex that incorporates Htz1p into chromatin,YGR002C|EAF2|GOD1,protein,20181102,SGD
S000028746,FMP49,located_in,GO:0005739,PMID:16823961,HDA,C,Mitochondrial protein of unknown function,YER038W-A,protein,20061212,SGD
S000005730,DED1,enables,GO:0003724,PMID:10364207,IMP,F,ATP-dependent DEAD-box RNA helicase with strand-annealing activity,YOR204W|SPP81|DEAD-box ATP-dependent RNA helicase DED1,protein,20090529,SGD
S000004841,MTF1,involved_in,GO:0032786,PMID:31980825,IMP,P,Mitochondrial RNA polymerase specificity factor,YMR228W|RNA polymerase specificity factor,protein,20200205,SGD
S000028758,YER145C-A,enables,GO:0003674,GO_REF:0000015,ND,F,Putative protein of unknown function,YER145C-A,protein,20030730,SGD
S000028758,YER145C-A,involved_in,GO:0008150,GO_REF:0000015,ND,P,Putative protein of unknown function,YER145C-A,protein,20030730,SGD
S000028758,YER145C-A,is_active_in,GO:0005575,GO_REF:0000015,ND,C,Putative protein of unknown function,YER145C-A,protein,20030730,SGD
S000000152,PTC3,involved_in,GO:0000188,PMID:12477803,IGI,P,Type 2C protein phosphatase (PP2C),YBL056W|type 2C protein phosphatase PTC3,protein,20171216,SGD
S000000152,PTC3,located_in,GO:0005634,PMID:12477803,IDA,C,Type 2C protein phosphatase (PP2C),YBL056W|type 2C protein phosphatase PTC3,protein,20171216,SGD
S000000152,PTC3,located_in,GO:0005737,PMID:12477803,IDA,C,Type 2C protein phosphatase (PP2C),YBL056W|type 2C protein phosphatase PTC3,protein,20171216,SGD
S000005051,YAF9,enables,GO:0005515,PMID:15302830,IPI,F,Subunit of NuA4 histone H4 acetyltransferase and SWR1 complexes,YNL107W|YEATS domain-containing protein YAF9,protein,20181102,SGD
S000028746,FMP49,enables,GO:0003674,GO_REF:0000015,ND,F,Mitochondrial protein of unknown function,YER038W-A,protein,20030730,SGD
S000028746,FMP49,involved_in,GO:0008150,GO_REF:0000015,ND,P,Mitochondrial protein of unknown function,YER038W-A,protein,20030730,SGD
S000002164,PTC1,enables,GO:1990439,PMID:11113180,IDA,F,Type 2C protein phosphatase (PP2C),YDL006W|CWH47|KCS2|TPD1|type 2C protein phosphatase PTC1,protein,20171215,SGD
S000002164,PTC1,involved_in,GO:0000188,PMID:11113180,IDA,P,Type 2C protein phosphatase (PP2C),YDL006W|CWH47|KCS2|TPD1|type 2C protein phosphatase PTC1,protein,20171216,SGD
S000002164,PTC1,involved_in,GO:0000188,PMID:11113180,IMP,P,Type 2C protein phosphatase (PP2C),YDL006W|CWH47|KCS2|TPD1|type 2C protein phosphatase PTC1,protein,20171215,SGD
S000002164,PTC1,involved_in,GO:0000188,PMID:11113180,IGI,P,Type 2C protein phosphatase (PP2C),YDL006W|CWH47|KCS2|TPD1|type 2C protein phosphatase PTC1,protein,20171215,SGD
S000002164,PTC1,involved_in,GO:0035970,PMID:11113180,IDA,P,Type 2C protein phosphatase (PP2C),YDL006W|CWH47|KCS2|TPD1|type 2C protein phosphatase PTC1,protein,20171215,SGD
S000006356,URN1,part_of,GO:0071010,PMID:19941820,IDA,C,Protein of unknown function containing WW and FF domains,YPR152C,protein,20181030,SGD
S000122558,MIN8,located_in,GO:0005829,PMID:26928762,HDA,C,Protein of unknown function,YPR010C-A,protein,20160603,SGD
S000005730,DED1,enables,GO:0003724,PMID:16216083,IDA,F,ATP-dependent DEAD-box RNA helicase with strand-annealing activity,YOR204W|SPP81|DEAD-box ATP-dependent RNA helicase DED1,protein,20090529,SGD
S000001811,NFT1,enables,GO:0003674,GO_REF:0000015,ND,F,Putative transporter of the MRP subfamily,YKR103W|putative multidrug transporter NFT1,protein,20200915,SGD
S000002564,YDR157W,enables,GO:0003674,GO_REF:0000015,ND,F,Putative protein of unknown function,YDR157W,protein,20021126,SGD
S000002564,YDR157W,involved_in,GO:0008150,GO_REF:0000015,ND,P,Putative protein of unknown function,YDR157W,protein,20021126,SGD
S000002564,YDR157W,is_active_in,GO:0005575,GO_REF:0000015,ND,C,Putative protein of unknown function,YDR157W,protein,20021126,SGD
S000028741,YEL009C-A,enables,GO:0003674,GO_REF:0000015,ND,F,Putative protein of unknown function,YEL009C-A,protein,20030730,SGD
S000028741,YEL009C-A,involved_in,GO:0008150,GO_REF:0000015,ND,P,Putative protein of unknown function,YEL009C-A,protein,20030730,SGD
S000028741,YEL009C-A,is_active_in,GO:0005575,GO_REF:0000015,ND,C,Putative protein of unknown function,YEL009C-A,protein,20030730,SGD
S000004998,MSG5,involved_in,GO:0000188,PMID:8306972,IDA,P,Dual-specificity protein phosphatase,YNL053W|tyrosine/serine/threonine protein phosphatase MSG5,protein,20171213,SGD
S000004998,MSG5,involved_in,GO:0000188,PMID:8306972,IMP,P,Dual-specificity protein phosphatase,YNL053W|tyrosine/serine/threonine protein phosphatase MSG5,protein,20171213,SGD
S000002433,NSI1,enables,GO:0003677,PMID:25092870,IDA,F,RNA polymerase I termination factor,YDR026C|YTT1,protein,20181102,SGD
S000005027,SAL1,located_in,GO:0005739,PMID:16823961,HDA,C,ADP/ATP transporter,YNL083W|Ca(2+)-binding ATP:ADP antiporter SAL1,protein,20061212,SGD
S000004226,YLR236C,enables,GO:0003674,GO_REF:0000015,ND,F,Putative protein of unknown function,YLR236C,protein,20021126,SGD
S000004226,YLR236C,involved_in,GO:0008150,GO_REF:0000015,ND,P,Putative protein of unknown function,YLR236C,protein,20021126,SGD
S000004226,YLR236C,is_active_in,GO:0005575,GO_REF:0000015,ND,C,Putative protein of unknown function,YLR236C,protein,20021126,SGD
S000000891,PTC2,enables,GO:1990439,PMID:12477803,IDA,F,Type 2C protein phosphatase (PP2C),YER089C|type 2C protein phosphatase PTC2,protein,20171216,SGD
S000000891,PTC2,involved_in,GO:0000188,PMID:12477803,IDA,P,Type 2C protein phosphatase (PP2C),YER089C|type 2C protein phosphatase PTC2,protein,20171216,SGD
S000000891,PTC2,involved_in,GO:0000188,PMID:12477803,IMP,P,Type 2C protein phosphatase (PP2C),YER089C|type 2C protein phosphatase PTC2,protein,20171216,SGD
S000000891,PTC2,involved_in,GO:0000188,PMID:12477803,IGI,P,Type 2C protein phosphatase (PP2C),YER089C|type 2C protein phosphatase PTC2,protein,20171216,SGD
S000000891,PTC2,involved_in,GO:0035970,PMID:12477803,IDA,P,Type 2C protein phosphatase (PP2C),YER089C|type 2C protein phosphatase PTC2,protein,20171216,SGD
S000000891,PTC2,located_in,GO:0005634,PMID:12477803,IDA,C,Type 2C protein phosphatase (PP2C),YER089C|type 2C protein phosphatase PTC2,protein,20171216,SGD
S000000891,PTC2,located_in,GO:0005737,PMID:12477803,IDA,C,Type 2C protein phosphatase (PP2C),YER089C|type 2C protein phosphatase PTC2,protein,20171216,SGD
S000000792,HPA3,enables,GO:0008080,PMID:23775086,IDA,F,D-Amino acid N-acetyltransferase that detoxifies D-amino acids,YEL066W|D-amino-acid N-acetyltransferase,protein,20171215,SGD
S000000792,HPA3,involved_in,GO:0006473,PMID:23775086,IDA,P,D-Amino acid N-acetyltransferase that detoxifies D-amino acids,YEL066W|D-amino-acid N-acetyltransferase,protein,20171215,SGD
S000004933,YMR316C-A,located_in,GO:0005783,PMID:26928762,HDA,C,Protein of unknown function,YMR316C-A,protein,20160603,SGD
S000000973,RAD3,enables,GO:0043139,PMID:2827162,IDA,F,5' to 3' DNA helicase,YER171W|REM1|TFIIH/NER complex ATP-dependent 5'-3' DNA helicase subunit RAD3,protein,20160107,SGD
S000000973,RAD3,enables,GO:0043139,PMID:2827162,IDA,F,5' to 3' DNA helicase,YER171W|REM1|TFIIH/NER complex ATP-dependent 5'-3' DNA helicase subunit RAD3,protein,20160107,SGD
S000006074,RAD53,involved_in,GO:1901857,PMID:31073026,IMP,P,DNA damage response kinase,YPL153C|LSD1|MEC2|SPK1|serine/threonine/tyrosine protein kinase RAD53,protein,20200207,SGD
S000002141,YAL064W-B,located_in,GO:0005783,PMID:26928762,HDA,C,Fungal-specific protein of unknown function,YAL064W-B,protein,20160603,SGD
S000001812,YKR104W,enables,GO:0003674,GO_REF:0000015,ND,F,Putative transporter of the MRP subfamily,YKR104W|NFT1,protein,20200916,SGD
S000007370,YGR161W-B,located_in,GO:0005737,GO_REF:0000044,IEA,C,Retrotransposon TYA Gag and TYB Pol genes,YGR161W-B|gag-pol fusion protein,protein,20210410,UniProt
S000004689,YMR084W,enables,GO:0003674,GO_REF:0000015,ND,F,Putative protein of unknown function,YMR084W|putative glutamine--fructose-6-phosphate transaminase,protein,20030203,SGD
S000004689,YMR084W,involved_in,GO:0008150,GO_REF:0000015,ND,P,Putative protein of unknown function,YMR084W|putative glutamine--fructose-6-phosphate transaminase,protein,20030203,SGD
S000004689,YMR084W,is_active_in,GO:0005575,GO_REF:0000015,ND,C,Putative protein of unknown function,YMR084W|putative glutamine--fructose-6-phosphate transaminase,protein,20030203,SGD
S000122558,MIN8,enables,GO:0003674,GO_REF:0000015,ND,F,Protein of unknown function,YPR010C-A,protein,20070510,SGD
S000000877,PTP3,involved_in,GO:0000188,PMID:10557209,IMP,P,Phosphotyrosine-specific protein phosphatase,YER075C|tyrosine protein phosphatase PTP3,protein,20171213,SGD
S000002493,SSS1,involved_in,GO:0015031,GO_REF:0000043,IEA,P,Subunit of the Sec61p translocation complex (Sec61p-Sss1p-Sbh1p),YDR086C|translocon subunit SSS1,protein,20210410,UniProt
S000002493,SSS1,involved_in,GO:0015031,GO_REF:0000043,IEA,P,Subunit of the Sec61p translocation complex (Sec61p-Sss1p-Sbh1p),YDR086C|translocon subunit SSS1,protein,20210410,UniProt
S000005652,IAH1,involved_in,GO:0016042,GO_REF:0000043,IEA,P,Isoamyl acetate-hydrolyzing esterase,YOR126C|isoamyl acetate-hydrolyzing esterase,protein,20210410,UniProt
S000004276,CTS1,involved_in,GO:0008152,GO_REF:0000043,IEA,P,Endochitinase,YLR286C|SCW2|chitinase,protein,20210410,UniProt
S000002712,CPR5,enables,GO:0003755,GO_REF:0000043,IEA,F,Peptidyl-prolyl cis-trans isomerase (cyclophilin) of the ER,YDR304C|CYP5|peptidylprolyl isomerase family protein CPR5,protein,20210410,UniProt
S000122558,MIN8,involved_in,GO:0008150,GO_REF:0000015,ND,P,Protein of unknown function,YPR010C-A,protein,20070510,SGD
S000000074,YAR023C,enables,GO:0003674,GO_REF:0000015,ND,F,Putative integral membrane protein,YAR023C|DUP240 family protein,protein,20021126,SGD
S000000074,YAR023C,involved_in,GO:0008150,GO_REF:0000015,ND,P,Putative integral membrane protein,YAR023C|DUP240 family protein,protein,20021126,SGD
S000000074,YAR023C,is_active_in,GO:0005575,GO_REF:0000015,ND,C,Putative integral membrane protein,YAR023C|DUP240 family protein,protein,20021126,SGD
S000001868,STE2,enables,GO:0004934,PMID:2161538,IDA,F,Receptor for alpha-factor pheromone,YFL026W|alpha-factor pheromone receptor STE2,protein,20050512,SGD
S000001868,STE2,enables,GO:0004934,PMID:6360378,IMP,F,Receptor for alpha-factor pheromone,YFL026W|alpha-factor pheromone receptor STE2,protein,20100707,SGD
S000001868,STE2,enables,GO:0004934,PMID:9742115,IMP,F,Receptor for alpha-factor pheromone,YFL026W|alpha-factor pheromone receptor STE2,protein,20050512,SGD
S000004276,CTS1,involved_in,GO:0071555,GO_REF:0000043,IEA,P,Endochitinase,YLR286C|SCW2|chitinase,protein,20210410,UniProt
S000000174,ATG8,involved_in,GO:0015031,GO_REF:0000043,IEA,P,Component of autophagosomes and Cvt vesicles,YBL078C|APG8|AUT7|CVT5|ubiquitin-like protein ATG8,protein,20210410,UniProt
S000005652,IAH1,involved_in,GO:0006629,GO_REF:0000043,IEA,P,Isoamyl acetate-hydrolyzing esterase,YOR126C|isoamyl acetate-hydrolyzing esterase,protein,20210410,UniProt
S000004176,EMG1,part_of,GO:0030686,PMID:22588997,IDA,C,Methyltransferase for rRNA,YLR186W|NEP1|18S rRNA pseudouridine methyltransferase,protein,20150506,GO_Central
S000001868,STE2,enables,GO:0004934,PMID:9742115,IGI,F,Receptor for alpha-factor pheromone,YFL026W|alpha-factor pheromone receptor STE2,protein,20050512,SGD
S000001868,STE2,enables,GO:0004934,PMID:9742115,IGI,F,Receptor for alpha-factor pheromone,YFL026W|alpha-factor pheromone receptor STE2,protein,20050512,SGD
S000001868,STE2,enables,GO:0004934,PMID:9742115,IGI,F,Receptor for alpha-factor pheromone,YFL026W|alpha-factor pheromone receptor STE2,protein,20050512,SGD
S000001868,STE2,involved_in,GO:0000750,PMID:3037311,IMP,P,Receptor for alpha-factor pheromone,YFL026W|alpha-factor pheromone receptor STE2,protein,20070712,SGD
S000001868,STE2,involved_in,GO:0000755,PMID:17369365,IDA,P,Receptor for alpha-factor pheromone,YFL026W|alpha-factor pheromone receptor STE2,protein,20070712,SGD
S000001868,STE2,involved_in,GO:0000755,PMID:17369365,IMP,P,Receptor for alpha-factor pheromone,YFL026W|alpha-factor pheromone receptor STE2,protein,20070712,SGD
S000001868,STE2,involved_in,GO:0030031,PMID:12378535,IMP,P,Receptor for alpha-factor pheromone,YFL026W|alpha-factor pheromone receptor STE2,protein,20030207,SGD
S000001014,SPO11,enables,GO:0045027,PMID:9039264,IDA,F,Meiosis-specific protein required for meiotic recombination,YHL022C|DNA topoisomerase (ATP-hydrolyzing),protein,20200915,SGD
S000001868,STE2,located_in,GO:0005887,PMID:2839507,IDA,C,Receptor for alpha-factor pheromone,YFL026W|alpha-factor pheromone receptor STE2,protein,20021122,SGD
S000005027,SAL1,enables,GO:0005471,PMID:18485069,IMP,F,ADP/ATP transporter,YNL083W|Ca(2+)-binding ATP:ADP antiporter SAL1,protein,20080714,SGD
S000005027,SAL1,enables,GO:0005509,PMID:15238515,IDA,F,ADP/ATP transporter,YNL083W|Ca(2+)-binding ATP:ADP antiporter SAL1,protein,20040716,SGD
S000003026,RAD6,enables,GO:0061631,GO_REF:0000003,IEA,F,Ubiquitin-conjugating enzyme (E2),YGL058W|PSO8|UBC2|E2 ubiquitin-conjugating protein RAD6,protein,20210410,UniProt
S000005027,SAL1,involved_in,GO:0006839,PMID:18485069,IMP,P,ADP/ATP transporter,YNL083W|Ca(2+)-binding ATP:ADP antiporter SAL1,protein,20080714,SGD
S000005027,SAL1,involved_in,GO:0015866,PMID:18485069,IMP,P,ADP/ATP transporter,YNL083W|Ca(2+)-binding ATP:ADP antiporter SAL1,protein,20080714,SGD
S000005027,SAL1,involved_in,GO:0015867,PMID:18485069,IMP,P,ADP/ATP transporter,YNL083W|Ca(2+)-binding ATP:ADP antiporter SAL1,protein,20080714,SGD
S000001767,TIF1,enables,GO:0003724,PMID:1502180,IDA,F,Translation initiation factor eIF4A,YKR059W|eIF4A|translation initiation factor eIF4A,protein,20061106,SGD
S000028736,MNC1,enables,GO:0003674,GO_REF:0000015,ND,F,Putative membrane protein upregulated in toxic manganese levels,YBR056W-A,protein,20030730,SGD
S000028736,MNC1,involved_in,GO:0008150,GO_REF:0000015,ND,P,Putative membrane protein upregulated in toxic manganese levels,YBR056W-A,protein,20030730,SGD
S000028736,MNC1,is_active_in,GO:0005575,GO_REF:0000015,ND,C,Putative membrane protein upregulated in toxic manganese levels,YBR056W-A,protein,20030730,SGD
S000004933,YMR316C-A,enables,GO:0003674,GO_REF:0000015,ND,F,Protein of unknown function,YMR316C-A,protein,20021126,SGD
S000004933,YMR316C-A,involved_in,GO:0008150,GO_REF:0000015,ND,P,Protein of unknown function,YMR316C-A,protein,20021126,SGD
S000006149,CET1,enables,GO:0004651,PMID:17707331,IDA,F,RNA 5'-triphosphatase involved in mRNA 5' capping,YPL228W|CES5|polynucleotide 5'-phosphatase,protein,20080102,SGD
S000006149,CET1,enables,GO:0004651,PMID:9345280,IDA,F,RNA 5'-triphosphatase involved in mRNA 5' capping,YPL228W|CES5|polynucleotide 5'-phosphatase,protein,20140110,SGD
S000006149,CET1,involved_in,GO:0006370,PMID:9345280,IPI,P,RNA 5'-triphosphatase involved in mRNA 5' capping,YPL228W|CES5|polynucleotide 5'-phosphatase,protein,20140110,SGD
S000003833,NPA3,involved_in,GO:0006606,PMID:21844196,IMP,P,Member of the conserved GPN-loop GTPase family,YJR072C|GPN1|EPA1|GTPase NPA3,protein,20171215,SGD
S000003833,NPA3,involved_in,GO:0006606,PMID:21844196,IMP,P,Member of the conserved GPN-loop GTPase family,YJR072C|GPN1|EPA1|GTPase NPA3,protein,20171215,SGD
S000006002,RPS9A,located_in,GO:0005737,PMID:11914276,HDA,C,Protein component of the small (40S) ribosomal subunit,YPL081W|S13|S4|S9A|YS11|rp21|uS4|ribosomal 40S subunit protein S9A,protein,20020507,SGD
S000003674,TIF2,enables,GO:0003724,PMID:1502180,IDA,F,Translation initiation factor eIF4A,YJL138C|eIF4A|translation initiation factor eIF4A,protein,20061106,SGD
S000006149,CET1,involved_in,GO:0032968,PMID:24172134,IMP,P,RNA 5'-triphosphatase involved in mRNA 5' capping,YPL228W|CES5|polynucleotide 5'-phosphatase,protein,20140110,SGD
S000006149,CET1,involved_in,GO:0098501,PMID:9345280,IDA,P,RNA 5'-triphosphatase involved in mRNA 5' capping,YPL228W|CES5|polynucleotide 5'-phosphatase,protein,20140110,SGD
S000006149,CET1,involved_in,GO:1900182,PMID:24205062,IMP,P,RNA 5'-triphosphatase involved in mRNA 5' capping,YPL228W|CES5|polynucleotide 5'-phosphatase,protein,20140110,SGD
S000006149,CET1,part_of,GO:0031533,PMID:9710603,IGI,C,RNA 5'-triphosphatase involved in mRNA 5' capping,YPL228W|CES5|polynucleotide 5'-phosphatase,protein,20080110,SGD
S000006149,CET1,part_of,GO:0031533,PMID:9710603,IPI,C,RNA 5'-triphosphatase involved in mRNA 5' capping,YPL228W|CES5|polynucleotide 5'-phosphatase,protein,20080110,SGD
S000002517,FOB1,enables,GO:0043110,PMID:14645529,IDA,F,Nucleolar protein that binds the rDNA replication fork barrier site,YDR110W|HRM1|replication fork barrier binding protein FOB1,protein,20090427,SGD
S000002517,FOB1,enables,GO:0043110,PMID:26951198,IMP,F,Nucleolar protein that binds the rDNA replication fork barrier site,YDR110W|HRM1|replication fork barrier binding protein FOB1,protein,20160425,SGD
S000002517,FOB1,involved_in,GO:0000183,PMID:12923057,IDA,P,Nucleolar protein that binds the rDNA replication fork barrier site,YDR110W|HRM1|replication fork barrier binding protein FOB1,protein,20031010,SGD
S000002517,FOB1,involved_in,GO:0000183,PMID:26951198,IMP,P,Nucleolar protein that binds the rDNA replication fork barrier site,YDR110W|HRM1|replication fork barrier binding protein FOB1,protein,20160425,SGD
S000002517,FOB1,involved_in,GO:0006310,PMID:9078378,IMP,P,Nucleolar protein that binds the rDNA replication fork barrier site,YDR110W|HRM1|replication fork barrier binding protein FOB1,protein,20010118,SGD
S000002517,FOB1,involved_in,GO:0006325,PMID:26951198,IGI,P,Nucleolar protein that binds the rDNA replication fork barrier site,YDR110W|HRM1|replication fork barrier binding protein FOB1,protein,20160425,SGD
S000002517,FOB1,involved_in,GO:0007059,PMID:16769819,IGI,P,Nucleolar protein that binds the rDNA replication fork barrier site,YDR110W|HRM1|replication fork barrier binding protein FOB1,protein,20140922,SGD
S000002517,FOB1,involved_in,GO:0007580,PMID:10230397,IMP,P,Nucleolar protein that binds the rDNA replication fork barrier site,YDR110W|HRM1|replication fork barrier binding protein FOB1,protein,20010118,SGD
S000002517,FOB1,involved_in,GO:0008156,PMID:14645529,IDA,P,Nucleolar protein that binds the rDNA replication fork barrier site,YDR110W|HRM1|replication fork barrier binding protein FOB1,protein,20031216,SGD
S000002517,FOB1,involved_in,GO:0031582,PMID:26951198,IMP,P,Nucleolar protein that binds the rDNA replication fork barrier site,YDR110W|HRM1|replication fork barrier binding protein FOB1,protein,20160425,SGD
S000002517,FOB1,involved_in,GO:0034503,PMID:19362534,IMP,P,Nucleolar protein that binds the rDNA replication fork barrier site,YDR110W|HRM1|replication fork barrier binding protein FOB1,protein,20090427,SGD
S000002517,FOB1,involved_in,GO:0043007,PMID:23593017,IGI,P,Nucleolar protein that binds the rDNA replication fork barrier site,YDR110W|HRM1|replication fork barrier binding protein FOB1,protein,20130722,SGD
S000002517,FOB1,involved_in,GO:0045911,PMID:25822194,IMP,P,Nucleolar protein that binds the rDNA replication fork barrier site,YDR110W|HRM1|replication fork barrier binding protein FOB1,protein,20160104,SGD
S000002517,FOB1,involved_in,GO:0070550,PMID:18923139,IMP,P,Nucleolar protein that binds the rDNA replication fork barrier site,YDR110W|HRM1|replication fork barrier binding protein FOB1,protein,20090416,SGD
S000002517,FOB1,involved_in,GO:0090342,PMID:25822194,IMP,P,Nucleolar protein that binds the rDNA replication fork barrier site,YDR110W|HRM1|replication fork barrier binding protein FOB1,protein,20150609,SGD
S000002517,FOB1,involved_in,GO:0090342,PMID:25822194,IGI,P,Nucleolar protein that binds the rDNA replication fork barrier site,YDR110W|HRM1|replication fork barrier binding protein FOB1,protein,20150609,SGD
S000000007,SPO7,located_in,GO:0005634,GO_REF:0000043,IEA,C,Putative regulatory subunit of Nem1p-Spo7p phosphatase holoenzyme,YAL009W|Nem1-Spo7 phosphatase regulatory subunit SPO7,protein,20210410,UniProt
S000002517,FOB1,located_in,GO:0005730,PMID:10230397,IDA,C,Nucleolar protein that binds the rDNA replication fork barrier site,YDR110W|HRM1|replication fork barrier binding protein FOB1,protein,20010118,SGD
S000002517,FOB1,located_in,GO:0033553,PMID:22362748,IDA,C,Nucleolar protein that binds the rDNA replication fork barrier site,YDR110W|HRM1|replication fork barrier binding protein FOB1,protein,20120315,SGD
S000001817,YAL065C,enables,GO:0003674,GO_REF:0000015,ND,F,Putative protein of unknown function,YAL065C,protein,20021126,SGD
S000001817,YAL065C,involved_in,GO:0008150,GO_REF:0000015,ND,P,Putative protein of unknown function,YAL065C,protein,20021126,SGD
S000001817,YAL065C,is_active_in,GO:0005575,GO_REF:0000015,ND,C,Putative protein of unknown function,YAL065C,protein,20021126,SGD
S000002141,YAL064W-B,enables,GO:0003674,GO_REF:0000015,ND,F,Fungal-specific protein of unknown function,YAL064W-B,protein,20021126,SGD
S000002141,YAL064W-B,involved_in,GO:0008150,GO_REF:0000015,ND,P,Fungal-specific protein of unknown function,YAL064W-B,protein,20021126,SGD
S000006096,SPT14,located_in,GO:0005789,GO_REF:0000044,IEA,C,UDP-glycosyltransferase subunit of the GPI-GnT complex,YPL175W|CWH6|GPI3|phosphatidylinositol N-acetylglucosaminyltransferase SPT14,protein,20210410,UniProt
S000006002,RPS9A,part_of,GO:0030686,PMID:12150911,HDA,C,Protein component of the small (40S) ribosomal subunit,YPL081W|S13|S4|S9A|YS11|rp21|uS4|ribosomal 40S subunit protein S9A,protein,20120208,SGD
S000002379,CDC13,enables,GO:0061770,PMID:31006804,IDA,F,Single stranded DNA-binding protein found at TG1-3 telomere G-tails,YDL220C|EST4|telomere-binding protein CDC13,protein,20200207,SGD
S000005435,YOL075C,enables,GO:0003674,GO_REF:0000015,ND,F,Putative ABC transporter,YOL075C,protein,20200915,SGD
S000006002,RPS9A,enables,GO:0003735,PMID:6814480,IDA,F,Protein component of the small (40S) ribosomal subunit,YPL081W|S13|S4|S9A|YS11|rp21|uS4|ribosomal 40S subunit protein S9A,protein,20061103,SGD
S000006002,RPS9A,enables,GO:0019843,PMID:16540469,IDA,F,Protein component of the small (40S) ribosomal subunit,YPL081W|S13|S4|S9A|YS11|rp21|uS4|ribosomal 40S subunit protein S9A,protein,20080924,SGD
S000006002,RPS9A,enables,GO:0019843,PMID:16540469,IMP,F,Protein component of the small (40S) ribosomal subunit,YPL081W|S13|S4|S9A|YS11|rp21|uS4|ribosomal 40S subunit protein S9A,protein,20080924,SGD
S000006002,RPS9A,involved_in,GO:0000462,PMID:16246728,IGI,P,Protein component of the small (40S) ribosomal subunit,YPL081W|S13|S4|S9A|YS11|rp21|uS4|ribosomal 40S subunit protein S9A,protein,20080924,SGD
S000006002,RPS9A,involved_in,GO:0002181,PMID:6814480,IC,P,Protein component of the small (40S) ribosomal subunit,YPL081W|S13|S4|S9A|YS11|rp21|uS4|ribosomal 40S subunit protein S9A,protein,20080924,SGD
S000006002,RPS9A,part_of,GO:0022627,PMID:6814480,IDA,C,Protein component of the small (40S) ribosomal subunit,YPL081W|S13|S4|S9A|YS11|rp21|uS4|ribosomal 40S subunit protein S9A,protein,20061103,SGD
S000006002,RPS9A,part_of,GO:0032040,PMID:15590835,IDA,C,Protein component of the small (40S) ribosomal subunit,YPL081W|S13|S4|S9A|YS11|rp21|uS4|ribosomal 40S subunit protein S9A,protein,20080320,SGD
S000002612,COQ4,enables,GO:0003674,GO_REF:0000015,ND,F,Protein with a role in ubiquinone (Coenzyme Q) biosynthesis,YDR204W|ubiquinone biosynthesis protein COQ4,protein,20021105,SGD
S000004233,GPN3,involved_in,GO:0006606,PMID:23267056,IMP,P,Putative GTPase with a role in biogenesis of RNA pol II and polIII,YLR243W|putative signal sequence-binding GTPase GPN3,protein,20171215,SGD
S000004233,GPN3,involved_in,GO:0006606,PMID:23267056,IMP,P,Putative GTPase with a role in biogenesis of RNA pol II and polIII,YLR243W|putative signal sequence-binding GTPase GPN3,protein,20171215,SGD
S000006397,HPA2,enables,GO:0008080,PMID:23775086,IDA,F,Tetrameric histone acetyltransferase,YPR193C|KAT10|histone acetyltransferase,protein,20171215,SGD
