gene_id,gene_name,qualifier,go_id,reference,evidence_code,go_aspect,full_name,synonyms,object_type,date,source
S000000243,ATP3,involved_in,GO:0006754,GO_REF:0000043,IEA,P,Gamma subunit of the F1 sector of mitochondrial F1F0 ATP synthase,YBR039W|F1F0 ATP synthase subunit gamma,protein,20210410,UniProt
S000000258,YRO2,located_in,GO:0016021,GO_REF:0000043,IEA,C,Protein with a putative role in response to acid stress,YBR054W,protein,20210410,UniProt
S000000263,AKL1,enables,GO:0000166,GO_REF:0000043,IEA,F,Ser/Thr protein kinase,YBR059C|serine/threonine protein kinase AKL1,protein,20210410,UniProt
S000000263,AKL1,enables,GO:0004672,GO_REF:0000002,IEA,F,Ser/Thr protein kinase,YBR059C|serine/threonine protein kinase AKL1,protein,20210410,InterPro
S000000263,AKL1,enables,GO:0004672,GO_REF:0000002,IEA,F,Ser/Thr protein kinase,YBR059C|serine/threonine protein kinase AKL1,protein,20210410,InterPro
S000000243,ATP3,involved_in,GO:0006811,GO_REF:0000043,IEA,P,Gamma subunit of the F1 sector of mitochondrial F1F0 ATP synthase,YBR039W|F1F0 ATP synthase subunit gamma,protein,20210410,UniProt
S000000263,AKL1,enables,GO:0004674,GO_REF:0000043,IEA,F,Ser/Thr protein kinase,YBR059C|serine/threonine protein kinase AKL1,protein,20210410,UniProt
S000000263,AKL1,enables,GO:0005524,GO_REF:0000002,IEA,F,Ser/Thr protein kinase,YBR059C|serine/threonine protein kinase AKL1,protein,20210410,InterPro
S000001357,PRK1,enables,GO:0004672,GO_REF:0000002,IEA,F,Ser/Thr protein kinase,YIL095W|PAK1|serine/threonine protein kinase PRK1,protein,20210410,InterPro
S000001357,PRK1,enables,GO:0004672,GO_REF:0000002,IEA,F,Ser/Thr protein kinase,YIL095W|PAK1|serine/threonine protein kinase PRK1,protein,20210410,InterPro
S000001357,PRK1,enables,GO:0005524,GO_REF:0000002,IEA,F,Ser/Thr protein kinase,YIL095W|PAK1|serine/threonine protein kinase PRK1,protein,20210410,InterPro
S000000243,ATP3,located_in,GO:0005739,GO_REF:0000043,IEA,C,Gamma subunit of the F1 sector of mitochondrial F1F0 ATP synthase,YBR039W|F1F0 ATP synthase subunit gamma,protein,20210410,UniProt
S000000243,ATP3,located_in,GO:0005739,GO_REF:0000044,IEA,C,Gamma subunit of the F1 sector of mitochondrial F1F0 ATP synthase,YBR039W|F1F0 ATP synthase subunit gamma,protein,20210410,UniProt
S000000243,ATP3,located_in,GO:0005743,GO_REF:0000043,IEA,C,Gamma subunit of the F1 sector of mitochondrial F1F0 ATP synthase,YBR039W|F1F0 ATP synthase subunit gamma,protein,20210410,UniProt
S000000243,ATP3,located_in,GO:0005743,GO_REF:0000044,IEA,C,Gamma subunit of the F1 sector of mitochondrial F1F0 ATP synthase,YBR039W|F1F0 ATP synthase subunit gamma,protein,20210410,UniProt
S000001356,LYS12,enables,GO:0000287,GO_REF:0000002,IEA,F,Homo-isocitrate dehydrogenase,YIL094C|LYS10|LYS11|homoisocitrate dehydrogenase,protein,20210410,InterPro
S000001356,LYS12,enables,GO:0047046,GO_REF:0000003,IEA,F,Homo-isocitrate dehydrogenase,YIL094C|LYS10|LYS11|homoisocitrate dehydrogenase,protein,20210410,UniProt
S000000238,HMT1,located_in,GO:0005634,GO_REF:0000044,IEA,C,Nuclear SAM-dependent mono- and asymmetric methyltransferase,YBR034C|HCP1|ODP1|RMT1|protein-arginine omega-N methyltransferase HMT1,protein,20210410,UniProt
S000000243,ATP3,located_in,GO:0016020,GO_REF:0000043,IEA,C,Gamma subunit of the F1 sector of mitochondrial F1F0 ATP synthase,YBR039W|F1F0 ATP synthase subunit gamma,protein,20210410,UniProt
S000000243,ATP3,part_of,GO:0045261,GO_REF:0000043,IEA,C,Gamma subunit of the F1 sector of mitochondrial F1F0 ATP synthase,YBR039W|F1F0 ATP synthase subunit gamma,protein,20210410,UniProt
S000001356,LYS12,enables,GO:0051287,GO_REF:0000002,IEA,F,Homo-isocitrate dehydrogenase,YIL094C|LYS10|LYS11|homoisocitrate dehydrogenase,protein,20210410,InterPro
S000000258,YRO2,enables,GO:0005216,GO_REF:0000002,IEA,F,Protein with a putative role in response to acid stress,YBR054W,protein,20210410,InterPro
S000000239,PDX3,enables,GO:0004733,GO_REF:0000002,IEA,F,Pyridoxine (pyridoxamine) phosphate oxidase,YBR035C|pyridoxamine-phosphate oxidase PDX3,protein,20210410,InterPro
S000000239,PDX3,enables,GO:0004733,GO_REF:0000003,IEA,F,Pyridoxine (pyridoxamine) phosphate oxidase,YBR035C|pyridoxamine-phosphate oxidase PDX3,protein,20210410,UniProt
S000000258,YRO2,involved_in,GO:0006811,GO_REF:0000002,IEA,P,Protein with a putative role in response to acid stress,YBR054W,protein,20210410,InterPro
S000001336,SER33,enables,GO:0051287,GO_REF:0000002,IEA,F,3-phosphoglycerate dehydrogenase and alpha-ketoglutarate reductase,YIL074C|phosphoglycerate dehydrogenase SER33,protein,20210410,InterPro
S000001336,SER33,enables,GO:0051287,GO_REF:0000002,IEA,F,3-phosphoglycerate dehydrogenase and alpha-ketoglutarate reductase,YIL074C|phosphoglycerate dehydrogenase SER33,protein,20210410,InterPro
S000000239,PDX3,enables,GO:0010181,GO_REF:0000002,IEA,F,Pyridoxine (pyridoxamine) phosphate oxidase,YBR035C|pyridoxamine-phosphate oxidase PDX3,protein,20210410,InterPro
S000003653,PHO86,located_in,GO:0016021,GO_REF:0000043,IEA,C,Endoplasmic reticulum (ER) resident protein,YJL117W,protein,20210410,UniProt
S000000239,PDX3,enables,GO:0016491,GO_REF:0000043,IEA,F,Pyridoxine (pyridoxamine) phosphate oxidase,YBR035C|pyridoxamine-phosphate oxidase PDX3,protein,20210410,UniProt
S000001356,LYS12,involved_in,GO:0019878,GO_REF:0000041,IEA,P,Homo-isocitrate dehydrogenase,YIL094C|LYS10|LYS11|homoisocitrate dehydrogenase,protein,20210410,UniProt
S000001355,RSM25,enables,GO:0003735,GO_REF:0000002,IEA,F,Mitochondrial ribosomal protein of the small subunit,YIL093C|mitochondrial 37S ribosomal protein RSM25|mS23,protein,20210410,InterPro
S000001355,RSM25,part_of,GO:0005763,GO_REF:0000002,IEA,C,Mitochondrial ribosomal protein of the small subunit,YIL093C|mitochondrial 37S ribosomal protein RSM25|mS23,protein,20210410,InterPro
S000001353,UTP25,located_in,GO:0005634,GO_REF:0000002,IEA,C,Nucleolar protein,YIL091C|rRNA-binding ribosome biosynthesis protein UTP25,protein,20210410,InterPro
