gene_id,gene_name,full_name,qualifier,go_id,evidence,go_aspect,synonyms,date,assigned_by
S000000853,JHD1,JmjC domain family histone demethylase specific for H3-K36,involved_in,GO:0006357,IBA,P,YER051W|JHDM1|KDM2|[Histone H3]-lysine-36 demethylase,20200908,GO_Central
S000002392,MFG1,Regulator of filamentous growth,involved_in,GO:0000122,IBA,P,YDL233W,20170828,GO_Central
S000004004,PPR1,Zinc finger transcription factor,involved_in,GO:0045944,IBA,P,YLR014C,20201002,GO_Central
S000000337,HSL7,Protein arginine N-methyltransferase,involved_in,GO:0006355,IBA,P,YBR133C|protein arginine N-methyltransferase,20200807,GO_Central
S000003592,ZAP1,Zinc-regulated transcription factor,involved_in,GO:0006357,IBA,P,YJL056C|ZRG10,20200930,GO_Central
S000003336,SRB5,Subunit of the RNA polymerase II mediator complex,involved_in,GO:0006357,IBA,P,YGR104C|MED18,20170228,GO_Central
S000003646,GZF3,GATA zinc finger protein,involved_in,GO:0006357,IBA,P,YJL110C|DEH1|NIL2,20201217,GO_Central
S000003234,SWC4,Component of the Swr1p complex that incorporates Htz1p into chromatin,involved_in,GO:0000122,IBA,P,YGR002C|EAF2|GOD1,20190522,GO_Central
S000003821,CBF1,Basic helix-loop-helix (bHLH) protein,enables,GO:0003700,IBA,F,YJR060W|CP1|CEP1|CPF1|GFII,20200810,GO_Central
S000003977,YLL054C,Putative protein of unknown function with similarity to Pip2p,involved_in,GO:0045944,IBA,P,YLL054C,20201001,GO_Central
S000004246,HAP1,Zinc finger transcription factor,enables,GO:0001228,IBA,F,YLR256W|CYP1,20200619,GO_Central
S000003908,HMS2,Protein with similarity to heat shock transcription factors,enables,GO:0003700,IBA,F,YJR147W,20201204,GO_Central
S000003741,YJL206C,Putative protein of unknown function,involved_in,GO:0045944,IBA,P,YJL206C,20201002,GO_Central
S000005666,SFL1,Transcriptional repressor and activator,enables,GO:0003700,IBA,F,YOR140W,20201204,GO_Central
S000004849,TAF9,Subunit (17 kDa) of TFIID and SAGA complexes,involved_in,GO:0006366,IBA,P,YMR236W|TAF17|TafII17|chromatin modification protein,20200810,GO_Central
S000001772,OAF3,Putative transcriptional repressor with Zn(2)-Cys(6) finger,involved_in,GO:0045944,IBA,P,YKR064W,20201001,GO_Central
S000000402,TAF5,Subunit (90 kDa) of TFIID and SAGA complexes,involved_in,GO:0006355,IBA,P,YBR198C|TAF90|TafII90|chromatin modification protein,20200601,GO_Central
S000001866,CAF16,Part of evolutionarily-conserved CCR4-NOT regulatory complex,involved_in,GO:0006357,IBA,P,YFL028C|putative ATP-binding cassette family ATPase CAF16,20170412,GO_Central
S000006156,RVB2,"ATP-dependent DNA helicase, also known as reptin",involved_in,GO:0006357,IBA,P,YPL235W|TIP49B|TIP48|TIH2|RuvB family ATP-dependent DNA helicase reptin,20200807,GO_Central
S000001526,PHD1,Transcriptional activator that enhances pseudohyphal growth,involved_in,GO:0045944,IBA,P,YKL043W,20170228,GO_Central
S000004061,RGR1,Subunit of the RNA polymerase II mediator complex,involved_in,GO:0006357,IBA,P,YLR071C|MED14,20200808,GO_Central
S000002274,NUP84,Subunit of the Nup84p subcomplex of the nuclear pore complex (NPC),involved_in,GO:0006355,IBA,P,YDL116W,20200808,GO_Central
S000004791,SPT21,Protein with a role in transcriptional silencing,involved_in,GO:0006357,IBA,P,YMR179W,20170228,GO_Central
S000002703,HDA2,Subunit of the HDA1 histone deacetylase complex,involved_in,GO:0045944,IBA,P,YDR295C|PLO2,20200401,GO_Central
S000000703,RDS1,Putative zinc cluster transcription factor,involved_in,GO:0045944,IBA,P,YCR106W,20201001,GO_Central
S000000842,GLN3,Transcriptional activator in nitrogen catabolite repression system,involved_in,GO:0006357,IBA,P,YER040W|nitrogen-responsive transcriptional regulator GLN3,20201217,GO_Central
S000004968,FAP1,Protein that binds to Fpr1p,involved_in,GO:0000122,IBA,P,YNL023C,20200929,GO_Central
S000005080,EAF7,Subunit of the NuA4 histone acetyltransferase complex,involved_in,GO:0006357,IBA,P,YNL136W,20170228,GO_Central
S000006217,CMR3,Putative zinc finger protein,involved_in,GO:0006357,IBA,P,YPR013C,20200908,GO_Central
S000003481,MGA1,Protein similar to heat shock transcription factor,involved_in,GO:0006357,IBA,P,YGR249W,20200929,GO_Central
S000001593,KTI12,Protein that plays a role in modification of tRNA wobble nucleosides,involved_in,GO:0006357,IBA,P,YKL110C|TOT4,20181116,GO_Central
S000000961,BUR6,Subunit of a heterodimeric NC2 transcription regulator complex,involved_in,GO:0006355,IBA,P,YER159C|NCB1|negative cofactor 2 transcription regulator complex subunit BUR6,20200929,GO_Central
S000005639,AZF1,Zinc-finger transcription factor,enables,GO:0003700,IBA,F,YOR113W,20200930,GO_Central
S000005508,SPT20,Subunit of the SAGA transcriptional regulatory complex,involved_in,GO:0006357,IBA,P,YOL148C|ADA5,20180413,GO_Central
S000006226,SDD4,"Putative transcription factor, as suggested by computational analysis",involved_in,GO:0006357,IBA,P,YPR022C,20201216,GO_Central
S000004246,HAP1,Zinc finger transcription factor,involved_in,GO:0006357,IBA,P,YLR256W|CYP1,20200619,GO_Central
