assembly_id,annotation_type,species_name,gff3_archive_path,pep_archive_path,cds_archive_path,genome_archive_path,is_reference
yHMPu5000035268_wickerhamomyces_hampshirensis_160928,final,Wickerhamomyces hampshirensis,y1000p_gff3_files/yHMPu5000035268_wickerhamomyces_hampshirensis_160928.final.gff3,y1000p_pep_files/yHMPu5000035268_wickerhamomyces_hampshirensis_160928.final.pep,y1000p_cds_files/yHMPu5000035268_wickerhamomyces_hampshirensis_160928.final.cds.tar.gz,y1000p_genome_files/yHMPu5000035268_wickerhamomyces_hampshirensis_160928.fas.gz,False
yHMPu5000035269_wickerhamomyces_ciferrii_170307,final,Wickerhamomyces ciferrii,y1000p_gff3_files/yHMPu5000035269_wickerhamomyces_ciferrii_170307.final.gff3,y1000p_pep_files/yHMPu5000035269_wickerhamomyces_ciferrii_170307.final.pep,y1000p_cds_files/yHMPu5000035269_wickerhamomyces_ciferrii_170307.final.cds.tar.gz,y1000p_genome_files/yHMPu5000035269_wickerhamomyces_ciferrii_170307.fas.gz,False
yHMPu5000035270_wickerhamomyces_chambardii_180604,final,Wickerhamomyces chambardii,y1000p_gff3_files/yHMPu5000035270_wickerhamomyces_chambardii_180604.haplomerger2.final.gff3,y1000p_pep_files/yHMPu5000035270_wickerhamomyces_chambardii_180604.haplomerger2.final.pep,y1000p_cds_files/yHMPu5000035270_wickerhamomyces_chambardii_180604.haplomerger2.final.cds.tar.gz,y1000p_genome_files/yHMPu5000035270_wickerhamomyces_chambardii_180604.haplomerger2.fas.gz,False
yHMPu5000035271_wickerhamomyces_bovis_160928,final,Wickerhamomyces bovis,y1000p_gff3_files/yHMPu5000035271_wickerhamomyces_bovis_160928.final.gff3,y1000p_pep_files/yHMPu5000035271_wickerhamomyces_bovis_160928.final.pep,y1000p_cds_files/yHMPu5000035271_wickerhamomyces_bovis_160928.final.cds.tar.gz,y1000p_genome_files/yHMPu5000035271_wickerhamomyces_bovis_160928.fas.gz,False
yHMPu5000035272_wickerhamomyces_bisporus_170307,final,Wickerhamomyces bisporus,y1000p_gff3_files/yHMPu5000035272_wickerhamomyces_bisporus_170307.final.gff3,y1000p_pep_files/yHMPu5000035272_wickerhamomyces_bisporus_170307.final.pep,y1000p_cds_files/yHMPu5000035272_wickerhamomyces_bisporus_170307.final.cds.tar.gz,y1000p_genome_files/yHMPu5000035272_wickerhamomyces_bisporus_170307.fas.gz,False
yHMPu5000035273_wickerhamomyces_anomalus_180604,final,Wickerhamomyces anomalus,y1000p_gff3_files/yHMPu5000035273_wickerhamomyces_anomalus_180604.haplomerger2.final.gff3,y1000p_pep_files/yHMPu5000035273_wickerhamomyces_anomalus_180604.haplomerger2.final.pep,y1000p_cds_files/yHMPu5000035273_wickerhamomyces_anomalus_180604.haplomerger2.final.cds.tar.gz,y1000p_genome_files/yHMPu5000035273_wickerhamomyces_anomalus_180604.haplomerger2.fas.gz,False
yHMPu5000035274_wickerhamomyces_alni_170307,final,Wickerhamomyces alni,y1000p_gff3_files/yHMPu5000035274_wickerhamomyces_alni_170307.final.gff3,y1000p_pep_files/yHMPu5000035274_wickerhamomyces_alni_170307.final.pep,y1000p_cds_files/yHMPu5000035274_wickerhamomyces_alni_170307.final.cds.tar.gz,y1000p_genome_files/yHMPu5000035274_wickerhamomyces_alni_170307.fas.gz,False
yHMPu5000035275_candida_vanderwaltii_170307,final,Candida vanderwaltii,y1000p_gff3_files/yHMPu5000035275_candida_vanderwaltii_170307.final.gff3,y1000p_pep_files/yHMPu5000035275_candida_vanderwaltii_170307.final.pep,y1000p_cds_files/yHMPu5000035275_candida_vanderwaltii_170307.final.cds.tar.gz,y1000p_genome_files/yHMPu5000035275_candida_vanderwaltii_170307.fas.gz,False
yHMPu5000035276_Candida_spandovensis_SPADES,final,Candida spandovensis SPADES,y1000p_gff3_files/yHMPu5000035276_Candida_spandovensis_SPADES.final.gff3,y1000p_pep_files/yHMPu5000035276_Candida_spandovensis_SPADES.final.pep,y1000p_cds_files/yHMPu5000035276_Candida_spandovensis_SPADES.final.cds.tar.gz,y1000p_genome_files/yHMPu5000035276_Candida_spandovensis_SPADES.fas.gz,False
yHMPu5000035277_candida_pararugosa_201018,final,Candida pararugosa,y1000p_gff3_files/yHMPu5000035277_candida_pararugosa_201018.final.gff3,y1000p_pep_files/yHMPu5000035277_candida_pararugosa_201018.final.pep,y1000p_cds_files/yHMPu5000035277_candida_pararugosa_201018.final.cds.tar.gz,y1000p_genome_files/yHMPu5000035277_candida_pararugosa_201018.fas.gz,False
yHMPu5000035278_tortispora_phaffii_170713,final,Tortispora phaffii,y1000p_gff3_files/yHMPu5000035278_tortispora_phaffii_170713.final.gff3,y1000p_pep_files/yHMPu5000035278_tortispora_phaffii_170713.final.pep,y1000p_cds_files/yHMPu5000035278_tortispora_phaffii_170713.final.cds.tar.gz,y1000p_genome_files/yHMPu5000035278_tortispora_phaffii_170713.fas.gz,False
yHMPu5000035279_tortispora_starmeri_170307,final,Tortispora starmeri,y1000p_gff3_files/yHMPu5000035279_tortispora_starmeri_170307.final.gff3,y1000p_pep_files/yHMPu5000035279_tortispora_starmeri_170307.final.pep,y1000p_cds_files/yHMPu5000035279_tortispora_starmeri_170307.final.cds.tar.gz,y1000p_genome_files/yHMPu5000035279_tortispora_starmeri_170307.fas.gz,False
yHMPu5000035280_trigonopsis_californica_190924,final,Trigonopsis californica,y1000p_gff3_files/yHMPu5000035280_trigonopsis_californica_190924.final.gff3,y1000p_pep_files/yHMPu5000035280_trigonopsis_californica_190924.final.pep,y1000p_cds_files/yHMPu5000035280_trigonopsis_californica_190924.final.cds.tar.gz,y1000p_genome_files/yHMPu5000035280_trigonopsis_californica_190924.fas.gz,False
